word,flag,count,,,,
公司,n,5191,,董事,n,569
原告,n,1146,,管理人员,n,559
被告,n,1020,,高级,b,551
规定,n,1007,,义务,n,442
为,p,996,,股东,n,421
在,p,880,,违反,v,408
与,p,827,,监事,n,236
元,m,824,,忠实,a,209
本院,n,694,,公司章程,n,206
年,m,689,,竞业禁止,l,158
月,m,652,,同类,n,152
对,p,640,,商业机会,nt,152
证据,n,627,,,,
和,c,576,,,,
董事,n,569,,,,
管理人员,n,559,,,,
高级,b,551,,,,
判决,v,530,,,,
有限公司,n,508,,,,
由,p,481,,,,
并,c,475,,,,
或者,c,468,,,,
本案,r,466,,,,
是,v,462,,,,
日,m,452,,,,
义务,n,442,,,,
及,c,423,,,,
股东,n,421,,,,
"	",x,410,,,,
违反,v,408,,,,
该,r,407,,,,
中,f,403,,,,
证明,n,401,,,,
不,d,399,,,,
公司法,n,397,,,,
经营,vn,384,,,,
中华人民共和国,ns,380,,,,
主张,n,379,,,,
应当,v,371,,,,
关于,p,345,,,,
行为,v,334,,,,
事实,n,332,,,,
本,r,332,,,,
利益,n,319,,,,
负担,v,307,,,,
有,v,306,,,,
上诉,v,299,,,,
于,p,299,,,,
合同,a,298,,,,
收入,v,296,,,,
业务,n,290,,,,
案件,n,284,,,,
承担,v,282,,,,
但,c,276,,,,
提供,v,275,,,,
法律,n,267,,,,
认定,v,267,,,,
是否,v,265,,,,
期间,f,262,,,,
受理费,n,256,,,,
上海,ns,254,,,,
不予,v,254,,,,
当事人,n,246,,,,
项目,n,240,,,,
职务,n,239,,,,
责任,n,239,,,,
如下,t,236,,,,
未,d,236,,,,
监事,n,236,,,,
向,p,234,,,,
损害,v,234,,,,
诉讼,vn,234,,,,
诉讼请求,n,231,,,,
支付,v,229,,,,
根据,p,229,,,,
予以,v,223,,,,
属于,v,222,,,,
存在,v,221,,,,
赔偿,v,220,,,,
故,n,214,,,,
系,v,214,,,,
他人,r,213,,,,
以,p,213,,,,
股东会,n,211,,,,
之,u,209,,,,
忠实,a,209,,,,
均,d,208,,,,
应,v,208,,,,
成立,v,208,,,,
要求,v,207,,,,
一,m,206,,,,
公司章程,n,206,,,,
"
",x,205,,,,
人,n,205,,,,
不能,v,202,,,,
而,c,202,,,,
损失,n,200,,,,
上述,b,197,,,,
一审,n,196,,,,
支持,v,195,,,,
依据,p,194,,,,
民事,n,193,,,,
也,d,187,,,,
作为,v,187,,,,
等,u,185,,,,
投资,vn,182,,,,
提出,v,182,,,,
他,r,178,,,,
给,p,177,,,,
上诉人,n,176,,,,
归入,v,175,,,,
之日起,ns,173,,,,
实际,n,173,,,,
对于,p,173,,,,
提交,v,173,,,,
进行,v,173,,,,
同意,d,172,,,,
情况,n,172,,,,
按,p,172,,,,
履行,v,170,,,,
将,d,167,,,,
提起,v,165,,,,
诉讼法,n,163,,,,
所有,b,161,,,,
关系,n,159,,,,
认为,v,159,,,,
万元,m,158,,,,
所得,v,158,,,,
竞业禁止,lv,158,,,,
1,m,157,,,,
人民法院,nt,156,,,,
执行,v,156,,,,
没有,v,155,,,,
确认,v,154,,,,
利用,n,153,,,,
同类,n,152,,,,
商业机会,nt,152,,,,
担任,v,152,,,,
请求,v,152,,,,
从,p,151,,,,
后,f,150,,,,
法院,n,149,,,,
驳回,v,149,,,,
协议,n,145,,,,
二审,b,144,,,,
可,v,142,,,,
判决书,v,141,,,,
相关,v,141,,,,
上,f,139,,,,
洪谦,nr,139,,,,
不得,v,138,,,,
可以,c,138,,,,
或,c,137,,,,
亦,d,136,,,,
如,v,136,,,,
百世,n,136,,,,
自己,r,136,,,,
康,nr,135,,,,
所,c,135,,,,
因,p,130,,,,
权,n,130,,,,
经,n,130,,,,
行使,n,128,,,,
争议,n,127,,,,
3,m,126,,,,
对方,n,126,,,,
…,x,125,,,,
不服,v,125,,,,
未经,d,125,,,,
设立,v,125,,,,
内向,n,124,,,,
因此,c,124,,,,
真实性,n,124,,,,
法定代表,n,122,,,,
人数,n,121,,,,
至,p,118,,,,
二,m,117,,,,
三,m,116,,,,
交易,n,116,,,,
决议,n,116,,,,
相应,v,116,,,,
7,m,114,,,,
任职,v,114,,,,
送达,v,114,,,,
问题,n,114,,,,
董事会,n,113,,,,
造成,v,113,,,,
经理,n,112,,,,
上诉状,n,109,,,,
副本,n,109,,,,
递交,v,108,,,,
即,v,107,,,,
管理,vn,107,,,,
股权,n,107,,,,
自营,vn,107,,,,
谋取,v,107,,,,
10,m,106,,,,
便利,a,106,,,,
归,v,105,,,,
总经理,n,105,,,,
焦点,n,105,,,,
转让,v,105,,,,
十五日,m,104,,,,
就,d,104,,,,
签订,v,104,,,,
部分,n,103,,,,
款项,n,100,,,,
举证,v,99,,,,
科技,n,99,,,,
12,m,98,,,,
号,m,98,,,,
派华,nz,98,,,,
以及,c,97,,,,
认可,v,97,,,,
负有,v,97,,,,
约定,v,96,,,,
贝因美,nr,96,,,,
销售,vn,95,,,,
利息,n,93,,,,
经营范围,n,93,,,,
%,x,92,,,,
4,m,92,,,,
5,m,92,,,,
无,v,92,,,,
依法,n,91,,,,
内容,n,90,,,,
对此,d,90,,,,
权利,n,90,,,,
2018,m,89,,,,
双方,n,89,,,,
时,n,89,,,,
北京,ns,88,,,,
终审判决,nr,88,,,,
股东大会,n,88,,,,
作出,v,87,,,,
内,n,87,,,,
获得,v,87,,,,
(,x,86,,,,
),x,86,,,,
主体,n,86,,,,
生效,n,86,,,,
纠纷,n,86,,,,
两,m,85,,,,
股份,n,85,,,,
之间,f,84,,,,
应予,v,84,,,,
所,b,84,,,,
行政,n,84,,,,
身份,n,84,,,,
6,m,83,,,,
人员,n,83,,,,
具有,v,83,,,,
并未,d,83,,,,
返还,v,81,,,,
利润,n,80,,,,
名义,n,79,,,,
成武,nr,79,,,,
按照,p,79,,,,
故,c,79,,,,
法律依据,l,79,,,,
法规,n,79,,,,
申请,v,79,,,,
肖,nr,79,,,,
起诉,v,79,,,,
金额,n,79,,,,
高管,n,79,,,,
2017,m,78,,,,
中级,b,78,,,,
财务,n,78,,,,
适用,v,78,,,,
下,f,77,,,,
原审,n,77,,,,
合作,vn,77,,,,
驳回上诉,n,77,,,,
2,m,76,,,,
2015,m,76,,,,
9,m,76,,,,
共同,d,76,,,,
确定,v,76,,,,
勤勉,ad,75,,,,
有限责任,l,75,,,,
通过,p,75,,,,
综上,n,74,,,,
债务,n,73,,,,
同时,c,73,,,,
并非,c,73,,,,
取得,v,72,,,,
工作,vn,72,,,,
理由,n,72,,,,
缺乏,v,71,,,,
情形,n,70,,,,
关联,ns,69,,,,
最高人民法院,nt,69,,,,
登记,v,69,,,,
负责人,n,69,,,,
2013,m,68,,,,
包括,v,68,,,,
数额,n,68,,,,
无法,n,68,,,,
费用,n,68,,,,
2014,m,67,,,,
代表,n,67,,,,
委托,n,67,,,,
构成,v,67,,,,
维持原判,n,67,,,,
虽然,c,67,,,,
租赁,v,66,,,,
裁定,v,66,,,,
持有,v,65,,,,
时间,n,65,,,,
计算,v,65,,,,
采信,v,65,,,,
8,m,64,,,,
中国,ns,64,,,,
浦飞尔,nr,64,,,,
符合,v,64,,,,
金徕居,nr,64,,,,
前款,n,63,,,,
2012,m,62,,,,
结合,v,62,,,,
被上诉人,n,62,,,,
账户,n,62,,,,
加倍,m,61,,,,
明确,ad,61,,,,
综上所述,c,61,,,,
迟延,nr,61,,,,
11,m,60,,,,
处理,v,60,,,,
实施,v,60,,,,
发生,v,59,,,,
审理,vn,59,,,,
显示,v,59,,,,
某,r,59,,,,
称,v,59,,,,
维持,v,59,,,,
财产,n,59,,,,
支出,v,58,,,,
直接,ad,58,,,,
被,p,58,,,,
个,m,57,,,,
分公司,n,57,,,,
资金,n,57,,,,
成本,n,56,,,,
新,a,56,,,,
沈阳,ns,56,,,,
职权,n,56,,,,
从事,v,55,,,,
全部,n,55,,,,
明州,nr,55,,,,
李金辉,nr,55,,,,
涉,v,55,,,,
下列,v,54,,,,
仅,d,54,,,,
据此,d,54,,,,
人民币,n,53,,,,
负责,v,53,,,,
首先,d,53,,,,
2016,m,52,,,,
信息,n,52,,,,
宝斯乐,nr,52,,,,
控制,v,52,,,,
有权,n,52,,,,
材料,n,52,,,,
生产,vn,52,,,,
个人,n,51,,,,
出资,vn,51,,,,
制作,vn,51,,,,
变更,v,51,,,,
津陵,ns,51,,,,
上海市,ns,50,,,,
原,n,50,,,,
廊坊,ns,50,,,,
技术,n,50,,,,
李,nr,50,,,,
监事会,n,50,,,,
记载,v,50,,,,
后果,n,49,,,,
工资,vn,49,,,,
该证据,n,49,,,,
侵权,v,48,,,,
凭证,n,48,,,,
副经理,n,48,,,,
参与,v,48,,,,
塔,j,48,,,,
宽,a,48,,,,
山宇,nr,48,,,,
并无不当,l,48,,,,
方式,n,48,,,,
无异议,l,48,,,,
潘玉华,nr,48,,,,
盛世,nr,48,,,,
不足以,v,47,,,,
乐辉,nr,47,,,,
合计,vn,47,,,,
明州,ns,47,,,,
服务,vn,47,,,,
未能,v,47,,,,
获金,n,47,,,,
设备,vn,47,,,,
基于,p,46,,,,
客户,n,46,,,,
意见,n,46,,,,
收取,v,46,,,,
正确,ad,46,,,,
不是,c,45,,,,
余,m,45,,,,
使用,v,45,,,,
公章,n,45,,,,
抗辩,v,45,,,,
解释,v,45,,,,
诉请,v,45,,,,
陈述,nr,45,,,,
主要,b,44,,,,
决定,v,44,,,,
员工,n,44,,,,
离职,v,44,,,,
载明,v,44,,,,
遵守,v,44,,,,
2011,m,43,,,,
一审判决,nr,43,,,,
到,v,43,,,,
杉杉,nz,43,,,,
30,m,42,,,,
侵害,v,42,,,,
具体,a,42,,,,
案,ng,42,,,,
说明,v,42,,,,
达,v,42,,,,
东莞,ns,41,,,,
企业,n,41,,,,
劳动合同,l,41,,,,
聘任,v,41,,,,
范围,n,41,,,,
药房,n,41,,,,
表示,v,41,,,,
适用法律,l,41,,,,
事实清楚,l,40,,,,
佐证,n,40,,,,
博雅,nr,40,,,,
启明,v,40,,,,
处,n,40,,,,
实业,n,40,,,,
我国,r,40,,,,
有关,vn,40,,,,
签署,v,40,,,,
设,v,40,,,,
诉讼时效,n,40,,,,
*,x,39,,,,
-,x,39,,,,
书面,n,39,,,,
享有,v,39,,,,
克拉,nrt,39,,,,
前述,b,39,,,,
发票,n,39,,,,
审查,vn,39,,,,
形成,v,39,,,,
查明,nr,39,,,,
科传,nr,39,,,,
竞争,vn,39,,,,
美,ns,39,,,,
之前,f,38,,,,
指,n,38,,,,
案外人,n,38,,,,
活动,vn,38,,,,
章程,n,38,,,,
保健,nr,37,,,,
内,f,37,,,,
则,d,37,,,,
前,f,37,,,,
十日,t,37,,,,
收益,n,37,,,,
时,ng,37,,,,
款,m,37,,,,
王新岩,nr,37,,,,
若干,m,37,,,,
该项,r,37,,,,
鑫,nr,37,,,,
不利,a,36,,,,
产品,n,36,,,,
任何,r,36,,,,
保全费,n,36,,,,
副总经理,n,36,,,,
如果,c,36,,,,
审计,v,36,,,,
对外,s,36,,,,
流水线,n,36,,,,
液压,n,36,,,,
表妹,n,36,,,,
1,x,35,,,,
不再,d,35,,,,
代表人,n,35,,,,
以上,f,35,,,,
冯华桥,nr,35,,,,
出具,v,35,,,,
外,f,35,,,,
指定,v,35,,,,
法定,n,35,,,,
租金,n,35,,,,
通知,v,35,,,,
分别,d,34,,,,
又,d,34,,,,
各,r,34,,,,
基础,n,34,,,,
大,n,34,,,,
完成,v,34,,,,
工商登记,n,34,,,,
广州,ns,34,,,,
报销,v,34,,,,
签字,v,34,,,,
自,r,34,,,,
解除,v,34,,,,
谢芳,nr,34,,,,
质证,j,34,,,,
过,ug,34,,,,
还,d,34,,,,
金,nr,34,,,,
锂宇,nz,34,,,,
需要,v,34,,,,
天津,ns,33,,,,
宁波,ns,33,,,,
必须,d,33,,,,
折,v,33,,,,
损害赔偿,n,33,,,,
条款,n,33,,,,
第一项,m,33,,,,
过程,n,33,,,,
金天鹏,nr,33,,,,
针对,p,33,,,,
16,m,32,,,,
一份,m,32,,,,
中瑞,ns,32,,,,
众,ng,32,,,,
但是,c,32,,,,
侵权行为,n,32,,,,
借款,n,32,,,,
喷涂,z,32,,,,
某某,r,32,,,,
江苏,ns,32,,,,
涉及,v,32,,,,
涉案,v,32,,,,
现,tg,32,,,,
稚趣,a,32,,,,
综合,vn,32,,,,
获取,v,32,,,,
28,m,31,,,,
之,f,31,,,,
乙方,n,31,,,,
关联性,n,31,,,,
卡考,nr,31,,,,
婴童,n,31,,,,
德远,ns,31,,,,
悠疆,i,31,,,,
我,r,31,,,,
杨衡,nr,31,,,,
民事诉讼,l,31,,,,
相同,d,31,,,,
睿,nrt,31,,,,
赔偿损失,n,31,,,,
赵雪燕,nr,31,,,,
采纳,v,31,,,,
银行,n,31,,,,
难以,d,31,,,,
5000,m,30,,,,
公司财务,n,30,,,,
居间,n,30,,,,
广州市,ns,30,,,,
来看,u,30,,,,
竞业,n,30,,,,
第项,m,30,,,,
给付,v,30,,,,
蒋秀,nr,30,,,,
餐饮公司,n,30,,,,
15,m,29,,,,
29,m,29,,,,
中,ns,29,,,,
卓然,a,29,,,,
咨询,vn,29,,,,
基本,n,29,,,,
开展,v,29,,,,
彤,n,29,,,,
收到,v,29,,,,
新月,t,29,,,,
李碚,nr,29,,,,
现有,b,29,,,,
甲方,n,29,,,,
程序,n,29,,,,
自,p,29,,,,
董事长,n,29,,,,
请求权,n,29,,,,
郝俊,nr,29,,,,
郭慧轩,nr,29,,,,
都,d,29,,,,
食品,n,29,,,,
一致,d,28,,,,
以下,f,28,,,,
充分,ad,28,,,,
入股,v,28,,,,
动力,n,28,,,,
大榭,n,28,,,,
年度,n,28,,,,
异议,n,28,,,,
晟,g,28,,,,
洁,ag,28,,,,
生辉,nr,28,,,,
用于,v,28,,,,
赵才海,nr,28,,,,
邮件,n,28,,,,
鑫诺,nz,28,,,,
雪松,nr,28,,,,
2019,m,27,,,,
50,m,27,,,,
丽,nr,27,,,,
产生,n,27,,,,
停止,v,27,,,,
内部,f,27,,,,
召开,v,27,,,,
形式,n,27,,,,
曾,d,27,,,,
民初,b,27,,,,
爱,v,27,,,,
组织,v,27,,,,
腾云,ns,27,,,,
连带责任,l,27,,,,
部门,n,27,,,,
集团公司,n,27,,,,
预交,v,27,,,,
马,n,27,,,,
2,x,26,,,,
31,m,26,,,,
中艺,nt,26,,,,
举证责任,l,26,,,,
之后,f,26,,,,
代理人,n,26,,,,
俪,g,26,,,,
元本,n,26,,,,
天天,t,26,,,,
威思拓,nr,26,,,,
岛,n,26,,,,
张俊,nr,26,,,,
往来,t,26,,,,
微信,vn,26,,,,
永疆,ns,26,,,,
能够,v,26,,,,
营业,n,26,,,,
证人,n,26,,,,
领,v,26,,,,
不同,a,25,,,,
交纳,v,25,,,,
佣金,n,25,,,,
佳,a,25,,,,
依据事实,n,25,,,,
具备,v,25,,,,
分析,vn,25,,,,
合理,vn,25,,,,
同,p,25,,,,
大,a,25,,,,
工作室,n,25,,,,
开发,v,25,,,,
德章,nr,25,,,,
报告,n,25,,,,
撤销,v,25,,,,
机电,n,25,,,,
条件,n,25,,,,
次,q,25,,,,
由于,c,25,,,,
远大,b,25,,,,
陈,nr,25,,,,
仍,d,24,,,,
代理,n,24,,,,
件,q,24,,,,
任职期间,n,24,,,,
会,v,24,,,,
博士,n,24,,,,
卫,n,24,,,,
原则,n,24,,,,
哲尚,n,24,,,,
山,n,24,,,,
张,q,24,,,,
折扣,v,24,,,,
持股,v,24,,,,
控股,v,24,,,,
数字,n,24,,,,
昌安,ns,24,,,,
正常,d,24,,,,
琦,nr,24,,,,
禁止,v,24,,,,
笔录,n,24,,,,
考虑,v,24,,,,
联达,v,24,,,,
记账,n,24,,,,
证实,n,24,,,,
违法,vn,24,,,,
26,m,23,,,,
七日,t,23,,,,
不足,a,23,,,,
两个,m,23,,,,
亭,ng,23,,,,
付春霞,nr,23,,,,
侵占,v,23,,,,
发展,vn,23,,,,
叶军,nr,23,,,,
好,a,23,,,,
广东,ns,23,,,,
律师,n,23,,,,
徐可培,nr,23,,,,
擅自,d,23,,,,
明,a,23,,,,
朝田,ns,23,,,,
标准,n,23,,,,
王仁,nr,23,,,,
表,v,23,,,,
表明,v,23,,,,
远景,n,23,,,,
一个,m,22,,,,
亿,m,22,,,,
即使,c,22,,,,
发放,v,22,,,,
可能,v,22,,,,
合法权益,n,22,,,,
同业,j,22,,,,
国际,n,22,,,,
扣除,v,22,,,,
披露,v,22,,,,
无证据,n,22,,,,
曹孝哲,nr,22,,,,
有效,a,22,,,,
朱文,nr,22,,,,
洪涛,nr,22,,,,
浩迈,a,22,,,,
知道,v,22,,,,
缴纳,v,22,,,,
股,n,22,,,,
自行,r,22,,,,
虽,c,22,,,,
证言,n,22,,,,
资料,n,22,,,,
软件,n,22,,,,
金钱,n,22,,,,
鉴于,p,22,,,,
陈桂云,nr,22,,,,
韩涛,nr,22,,,,
17,m,21,,,,
一定,d,21,,,,
侵犯,v,21,,,,
共计,v,21,,,,
判断,v,21,,,,
单位,n,21,,,,
反映,v,21,,,,
受,v,21,,,,
合法,n,21,,,,
奇点,n,21,,,,
审批,v,21,,,,
山东,ns,21,,,,
德益,nr,21,,,,
德盾,nz,21,,,,
所,u,21,,,,
数据,n,21,,,,
旦旦,t,21,,,,
晋宇,nr,21,,,,
李慧玲,nr,21,,,,
浙江,ns,21,,,,
经济,n,21,,,,
至于,p,21,,,,
艾芮菲,nr,21,,,,
营运,n,21,,,,
起,v,21,,,,
适格,ad,21,,,,
2008,m,20,,,,
主体资格,n,20,,,,
事宜,n,20,,,,
亚,ns,20,,,,
仍,zg,20,,,,
再,d,20,,,,
加以,v,20,,,,
勤俭,a,20,,,,
工商,n,20,,,,
意思,n,20,,,,
挪用,v,20,,,,
文化传媒,n,20,,,,
晖,nr,20,,,,
期限,n,20,,,,
李金友,nr,20,,,,
杨仕权,nr,20,,,,
确实,ad,20,,,,
签名,v,20,,,,
经过,p,20,,,,
能源,n,20,,,,
调取,v,20,,,,
重合,vn,20,,,,
陈亮,nr,20,,,,
限制,v,20,,,,
14,m,19,,,,
2020,m,19,,,,
25,m,19,,,,
3,x,19,,,,
一直,d,19,,,,
一队,m,19,,,,
上市公司,nt,19,,,,
事项,n,19,,,,
企汇,n,19,,,,
会计,v,19,,,,
余蕾,nr,19,,,,
作,v,19,,,,
信,n,19,,,,
俱,n,19,,,,
公安机关,n,19,,,,
只是,c,19,,,,
否认,v,19,,,,
地址,n,19,,,,
多,m,19,,,,
导致,v,19,,,,
巨龙,nr,19,,,,
归还,v,19,,,,
心,n,19,,,,
承担责任,l,19,,,,
本法,n,19,,,,
案二审,n,19,,,,
此,r,19,,,,
法博洋,ns,19,,,,
注销,v,19,,,,
海龙,nz,19,,,,
看,v,19,,,,
秘书,n,19,,,,
职责,n,19,,,,
解聘,v,19,,,,
订立,v,19,,,,
记录,n,19,,,,
账目,n,19,,,,
超过,v,19,,,,
迈特,nrt,19,,,,
采购,v,19,,,,
陆运,n,19,,,,
除,p,19,,,,
主管,n,18,,,,
事务,n,18,,,,
付款,v,18,,,,
修改,v,18,,,,
兴港,ns,18,,,,
刘泱,nr,18,,,,
办理,n,18,,,,
加盖,v,18,,,,
华,ns,18,,,,
单方,n,18,,,,
单独,d,18,,,,
各方,r,18,,,,
如何,r,18,,,,
审计报告,n,18,,,,
庭审,n,18,,,,
得出,v,18,,,,
成都,ns,18,,,,
房屋,n,18,,,,
才,d,18,,,,
既,c,18,,,,
易芳,nr,18,,,,
比例,n,18,,,,
用以,v,18,,,,
电子,n,18,,,,
相反,v,18,,,,
研发,j,18,,,,
简会,v,18,,,,
结果,n,18,,,,
计划案,n,18,,,,
货款,n,18,,,,
费,v,18,,,,
转账,v,18,,,,
这,r,18,,,,
进货,v,18,,,,
酩庄,i,18,,,,
集团,n,18,,,,
20,m,17,,,,
三十日,m,17,,,,
事务所律师,n,17,,,,
任命,n,17,,,,
会议,n,17,,,,
住,v,17,,,,
再次,d,17,,,,
减半,v,17,,,,
判令,v,17,,,,
制度,n,17,,,,
博革,vn,17,,,,
受到,v,17,,,,
四,m,17,,,,
因,c,17,,,,
因素,n,17,,,,
在于,v,17,,,,
奥吉娜,nr,17,,,,
季步,n,17,,,,
客,n,17,,,,
应归,v,17,,,,
张,nr,17,,,,
张雷,nr,17,,,,
故对,d,17,,,,
文件,n,17,,,,
智慧,nr,17,,,,
李凯,nr,17,,,,
李秋生,nr,17,,,,
此,zg,17,,,,
注册,v,17,,,,
派,v,17,,,,
海涛,nr,17,,,,
滥用,v,17,,,,
热点,n,17,,,,
特效,a,17,,,,
独立,v,17,,,,
真实,d,17,,,,
答辩,v,17,,,,
签订合同,n,17,,,,
老酷,a,17,,,,
而言,c,17,,,,
自然人,l,17,,,,
虽,zg,17,,,,
要件,n,17,,,,
视觉,n,17,,,,
认证,v,17,,,,
账簿,n,17,,,,
鉴定,v,17,,,,
银行卡,nr,17,,,,
需,v,17,,,,
18,m,16,,,,
24,m,16,,,,
40,m,16,,,,
5,x,16,,,,
一般,a,16,,,,
上海市第一中级人民法院,nt,16,,,,
不符,v,16,,,,
价格,n,16,,,,
使,v,16,,,,
依,d,16,,,,
刑事,b,16,,,,
刘芳,nr,16,,,,
协议书,n,16,,,,
博,n,16,,,,
即便,c,16,,,,
原被告,nr,16,,,,
同一,b,16,,,,
喵,o,16,,,,
因为,c,16,,,,
宋,nr,16,,,,
完全,ad,16,,,,
宣传,vn,16,,,,
崇,nrt,16,,,,
平台,n,16,,,,
授权,v,16,,,,
无效,a,16,,,,
朵玛,nrt,16,,,,
机关,n,16,,,,
李杰妹,nr,16,,,,
核对,v,16,,,,
水合,n,16,,,,
江苏省,ns,16,,,,
波,j,16,,,,
王光村,nr,16,,,,
王宗宏,nr,16,,,,
科德,nrt,16,,,,
系,n,16,,,,
繁,v,16,,,,
经济损失,n,16,,,,
自动,vn,16,,,,
苏慧平,nr,16,,,,
若,c,16,,,,
补充,v,16,,,,
言志,n,16,,,,
许凌君,nr,16,,,,
这个,r,16,,,,
酌情,d,16,,,,
13,m,15,,,,
2010,m,15,,,,
21,m,15,,,,
不当,d,15,,,,
东平,ns,15,,,,
云南,ns,15,,,,
价款,n,15,,,,
众智,n,15,,,,
但原告,nr,15,,,,
信息技术,n,15,,,,
分红,v,15,,,,
力,n,15,,,,
北方,f,15,,,,
反驳,v,15,,,,
发送,v,15,,,,
和丰,nz,15,,,,
哲思,n,15,,,,
四川,ns,15,,,,
场地,s,15,,,,
审核,v,15,,,,
属,v,15,,,,
应为,v,15,,,,
影响,vn,15,,,,
性质,n,15,,,,
总,b,15,,,,
拒绝,v,15,,,,
撤回,v,15,,,,
新城,ns,15,,,,
春义,n,15,,,,
曹友荣,nr,15,,,,
朗易,nrt,15,,,,
本人,r,15,,,,
权益,n,15,,,,
李建全,nr,15,,,,
检测,vn,15,,,,
汽车,n,15,,,,
法人,n,15,,,,
清算,v,15,,,,
王晓宾,nr,15,,,,
环保,j,15,,,,
目前,t,15,,,,
终止,v,15,,,,
结论,n,15,,,,
自助,v,15,,,,
蒋希舟,nr,15,,,,
行,zg,15,,,,
许可,nr,15,,,,
设计,vn,15,,,,
迅闪,z,15,,,,
逾期,t,15,,,,
郭永强,nr,15,,,,
配偶,v,15,,,,
2000,m,14,,,,
任期,n,14,,,,
低于,v,14,,,,
剩余,v,14,,,,
劳动,vn,14,,,,
博文,nr,14,,,,
告知,v,14,,,,
告诉,v,14,,,,
实体,n,14,,,,
实质,n,14,,,,
应对,v,14,,,,
批准,v,14,,,,
无关,v,14,,,,
日日,t,14,,,,
明显,a,14,,,,
明细,ad,14,,,,
李向阳,nr,14,,,,
条,n,14,,,,
来,v,14,,,,
核实,n,14,,,,
案由,n,14,,,,
次,m,14,,,,
